0,1,2,3
id,mls_number,title,value
439,8457034,3,Commercial and office space
440,8457034,5,1989
441,8457034,14,"1,130 sqft"
442,8457034,7,Commercial (1)
9673,8575960,1,"18,292 sqft"
9674,8575960,2,Commercial
538,8650057,3,Offices only
9703,8725739,3,Commercial and office space
9704,8725739,5,Unknown age
9705,8725739,12,"4,088 sqft"
9706,8725739,1,"9,030 sqft"
5450,8770742,3,Commercial and office space
5451,8770742,5,1976
3569,8771988,3,Industrial only
3570,8771988,14,"21,600 sqft"
3571,8771988,12,"21,600 sqft"
3572,8771988,7,Industrial (1)
1084,9011536,3,Commercial only
1085,9011536,14,"2,900 sqft"
1086,9011536,12,"2,900 sqft"
1087,9011536,7,Commercial (1)
8718,9014429,3,Commercial and office space
8719,9014429,14,"2,500 sqft"
8720,9014429,7,Warehouse (1)
4911,9020115,3,Commercial and industrial
4912,9020115,5,"2017, New"
4913,9020115,14,"1,650 sqft"
4914,9020115,7,Commercial (1)
4915,9020115,15,Other
8751,9024020,3,Industrial only
8752,9024020,5,2007
8753,9024020,14,"4,000 sqft"
8754,9024020,7,Industrial (1)
3050,9029229,3,Commercial and office space
3051,9029229,5,1966
3052,9029229,14,"From 2,000 sqft to 4,340 sqft"
3053,9029229,7,Commercial (2)
4845,9068572,3,Commercial and office space
4846,9068572,14,"1,000 sqft"
4847,9068572,7,Office (1)
2028,9084240,3,Commercial and office space
2029,9084240,5,"To be built, New"
2030,9084240,14,"4,000 sqft"
2031,9084240,7,Commercial (1)
1362,9089534,3,Commercial and office space
1363,9089534,12,"1,200 sqft"
824,9091090,3,Commercial only
825,9091090,14,222 sqft
826,9091090,7,Commercial (1)
1976,9104129,3,Commercial and office space
1977,9104129,5,2017
1978,9104129,14,"1,167 sqft"
1979,9104129,7,Commercial (1)
4312,9145015,3,Commercial and office space
4313,9145015,5,1982
4314,9145015,12,"1,425 sqft"
8210,9147747,3,Commercial and office space
8211,9147747,5,1965
8212,9147747,12,"1,650 sqft"
1,9149627,3,Commercial only
