0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
mls_number,Lot area,Zoning,Use of property,Building style,Year built,Fireplace/Stove,Number of units,Residential units,Main unit,Potential gross revenue,Additional features,Building area,Parking,Available area,Type of business,Pool
10002162,,,Commercial and office space,,1989,,Commercial (1),,,,,,,"1,130 sqft",,
10011279,"18,292 sqft",Commercial,,,,,,,,,,,,,,
10015489,,,Offices only,,,,,,,,,,,,,
10033118,"9,030 sqft",,Commercial and office space,,Unknown age,,,,,,,"4,088 sqft",,,,
10034863,,,Commercial and office space,,1976,,,,,,,,,,,
10044393,,,Industrial only,,,,Industrial (1),,,,,"21,600 sqft",,"21,600 sqft",,
10049963,,,Commercial only,,,,Commercial (1),,,,,"2,900 sqft",,"2,900 sqft",,
10075310,,,Commercial and office space,,,,Warehouse (1),,,,,,,"2,500 sqft",,
10095724,,,Commercial and industrial,,"2017, New",,Commercial (1),,,,,,,"1,650 sqft",Other,
10097134,,,Industrial only,,2007,,Industrial (1),,,,,,,"4,000 sqft",,
10104682,,,Commercial and office space,,1966,,Commercial (2),,,,,,,"From 2,000 sqft to 4,340 sqft",,
10118017,,,Commercial and office space,,,,Office (1),,,,,,,"1,000 sqft",,
10122419,,,Commercial and office space,,"To be built, New",,Commercial (1),,,,,,,"4,000 sqft",,
10124008,,,Commercial and office space,,,,,,,,,"1,200 sqft",,,,
10125036,,,Commercial only,,,,Commercial (1),,,,,,,222 sqft,,
10126300,,,Commercial and office space,,2017,,Commercial (1),,,,,,,"1,167 sqft",,
10130559,,,Commercial and office space,,1982,,,,,,,"1,425 sqft",,,,
10133953,,,Commercial and office space,,1965,,,,,,,"1,650 sqft",,,,
10134307,"5,273 sqft",,Commercial only,,1952,,Commercial (1),,,,,"1,064 sqft",,"5,273 sqft",,
10152748,,,Commercial and office space,,,,Office (1),,,,,,,"2,800 sqft",,
10155054,,,Commercial and office space,,,,Commercial (1),,,,,,,935 sqft,,
10165143,,,Commercial only,,1950,,Commercial (1),,,,,,,"2,000 sqft",,
10178682,,,Commercial and office space,,1967,,Commercial (1),,,,,,,"7,000 sqft",,
10180168,,,Commercial and office space,,,,Commercial (1),,,,,,,450 sqft,,
10196049,,,Commercial and office space,,1932,,Commercial (1),,,,,,,842 sqft,"Coffee/Donuts, Auto parts, Accounting, Daycare centre, Grocery store",
10198762,,,Commercial and industrial,,,,Office (1),,,,,,,"2,500 sqft",,
10211426,,,Offices only,,,,Office (1),,,,,,,100 sqft,,
10212571,,,,,1925,Wood stove,,,,,,,,,,
10228021,"8,113 sqft",,Offices only,,,,Office (1),,,,,,,728 sqft,Office space,
10256780,,,Offices only,,,,Office (1),,,,,,,108 sqft,Other,
10265333,,,Commercial and office space,,Unknown age,,Office (2),,,,,,,"From 1,344 sqft to 2,912 sqft",,
10273596,"28,330 sqft",Commercial,,,,,,,,,,,,,,
10275147,,,Commercial only,,,,Commercial (1),,,,,,,720 sqft,,
10284827,,,Commercial and office space,,1957,,Commercial (1),,,,,,,"5,000 sqft",,
10292577,,,Offices only,,,,Office (1),,,,,,,108 sqft,Other,
10296018,,,Industrial and offices,,2017,,Industrial (1),,,,,,,"2,500 sqft",Other,
10297794,,,Commercial and office space,,2017,,Commercial (1),,,,,,,"1,035 sqft",,
10306420,,,Commercial and office space,,,,"Commercial (1), Office (2)",,,,,,,"From 1,464 sqft to 11,134 sqft",,
10308523,,,Offices only,,1945,,Commercial (1),,,,,,,88 sqft,,
10313229,,,Offices only,,,,Office (1),,,,,,,"1,000 sqft",Other,
10315935,"7,545 sqft",,Commercial only,,1925,,Commercial (1),,,,,"3,767 sqft",,"4,000 sqft",Pharmacy,
10332757,"24,972 sqft",,Commercial and industrial,,Unknown age,,Commercial (1),,,,,"4,758 sqft",,"4,758 sqft",,
10339180,"41,990 sqft",,Offices only,,,,"Office (2), Warehouse (1)",,,,,"1,660 sqft",,"From 409 sqft to 4,239 sqft",,
10361134,,,Offices only,,Unknown age,,Office (1),,,,,,,"1,711 sqft",,
10375814,,,Commercial and office space,,,,Commercial (1),,,,,,,"5,833 sqft",,
10390666,,,Commercial only,,,,Commercial (1),,,,,,,796 sqft,"Jewellery store, Bakery, Laundromat, Candy/Chocolate shop, Shoe repair shop, Driving school, Dry-cleaning, Pastry shop, Stationery store, Tanning salon, Hairdresser - Men's, Hairdresser, Florist, Photo studio, Ice cream shop",
10400810,,,Commercial and office space,,1900,,Office (3),,,,,"23,861 sqft",,"From 865 sqft to 4,555 sqft",,
10402940,,,Commercial only,,,,Commercial (1),,,,,"7,836 sqft",,"7,836 sqft",,
10421240,,,Offices only,,1910,,Office (1),,,,,,,"2,000 sqft",,
10426169,,,Commercial only,,Unknown age,,Commercial (1),,,,,,,"1,320 sqft",,
10443952,,,Commercial only,,"To be built, New",,Commercial (1),,,,,,,1 sqft,,
10447766,,,Commercial only,,"Under construction, New",,Commercial (1),,,,,"6,000 sqft",,"6,000 sqft",,
10452338,"7,521 sqft",,Commercial only,,"1896, Century",,Commercial (1),,,,,"17,965 sqft",,"2,785 sqft",,
10460547,,,Industrial only,,,,Industrial (1),,,,,,,"7,067 sqft",,
10465334,,,Commercial and office space,,,,Commercial (1),,,,,,,"7,249 sqft",,
10466161,,,Commercial and office space,,,,Commercial (1),,,,,,,"3,000 sqft",,
10468534,"10,000 sqft",,Commercial and residential,,1970,,Commercial (5),,,,,"3,484 sqft",,"From 548 sqft to 3,514 sqft",,
