0,1,2,3
id,mls_number,title,value
id,mls_number,title,value
1,14915278,1,"9,492 sqft"
2,14915278,2,Residential
3,17725837,3,Residential only
4,17725837,4,Detached
5,17725837,5,1974
6,17725837,1,"13,784 sqft"
7,17725837,6,"Wood stove, Stove - Other"
8,17725837,7,Residential (4)
9,17725837,8,"1 x 3 ½,  3 x 4 ½"
10,17725837,9,"4 Rooms, 2 Bedrooms, 1 Bath/powder room"
11,17725837,10,"$30,600"
12,17725837,11,Basement 6 feet or +
13,19605832,3,Seniors' residence
14,19605832,4,Detached
15,19605832,5,2000
16,19605832,12,"1,957 sqft"
17,19605832,1,"6,305 sqft"
18,19605832,13,Driveway (10)
19,19605832,7,Residential (16)
20,19605832,8,16 x 1 ½
21,19605832,10,"$225,012"
22,19605832,11,Basement 6 feet or +
23,22098792,3,Commercial and residential
24,22098792,5,1900
25,22098792,14,850 sqft
26,22098792,12,832 sqft
27,22098792,1,"2,288 sqft"
28,22098792,7,Commercial (1)
29,22098792,15,Bar
30,27416608,1,"23,195 sqft"
31,27416608,2,Residential
32,24674356,1,"29,860 sqft"
33,24674356,2,"Commercial, Residential"
34,16612462,3,Residential only
35,16612462,4,Semi-detached
36,16612462,5,1926
37,16612462,7,Residential (15)
38,16612462,8,1 x 4 ½
39,16612462,10,"$69,840"
40,11983603,1,"54,589 sqft"
41,11983603,2,Residential
42,14900522,1,"38,589 sqft"
43,14900522,2,Residential
44,18889808,5,1925
45,18889808,1,"308,097 sqft"
46,18889808,13,"Driveway (9), Garage (2)"
47,18889808,6,Wood stove
48,12776100,1,"1,611,720 sqft"
49,12776100,2,Residential
50,19193707,1,"62,296 sqft"
51,19193707,2,Residential
52,22368223,1,"43,983 sqft"
53,22368223,2,Residential
54,14025021,3,Commercial and residential
55,14025021,5,1988
56,14025021,14,"16,146 sqft"
57,14025021,1,"24,251 sqft"
58,14025021,7,Commercial (1)
59,27000862,1,"132,286 sqft"
60,27000862,2,Residential
61,19333001,1,"9,534 sqft"
62,19333001,2,"Commercial, Residential"
63,22457645,3,Residential only
64,22457645,4,Detached
65,22457645,5,1915
66,22457645,12,800 sqft
67,22457645,1,"2,737 sqft"
68,22457645,7,Residential (3)
69,22457645,8,"2 x 3 ½,  1 x 5 ½"
70,22457645,9,"3 Rooms, 1 Bedroom, 1 Bath/powder room"
71,22457645,10,"$26,400"
72,28349238,1,"4,791,600 sqft"
73,28349238,2,"Agricultural, Residential"
74,10517484,1,"116,725 sqft"
75,10517484,2,Residential
76,14471430,1,"129,167 sqft"
77,14471430,2,Residential
78,25360209,1,"24,812 sqft"
79,25360209,2,Residential
80,16960996,1,"4,634,784 sqft"
81,16960996,2,Residential
82,20475134,3,Residential and commercial
83,20475134,4,Detached
84,20475134,5,1883
85,20475134,1,"13,758 sqft"
86,20475134,7,Residential (22)
87,20475134,8,22 x Other
88,20475134,10,"$55,992"
89,20475134,11,Basement 6 feet or +
90,12498938,1,"34,472 sqft"
91,12498938,2,Residential
92,23940366,1,"1,672,710 sqft"
93,23940366,2,Resort
94,10722910,3,Residential only
95,10722910,4,Detached
96,10722910,5,"1871, Century"
97,10722910,1,"11,333 sqft"
98,10722910,13,Driveway (10)
99,10722910,16,Above-ground
100,10722910,6,"Fireplace - Other, Wood fireplace"
101,10722910,7,Residential (2)
102,10722910,8,"1 x 7 ½,  1 x 9 ½"
103,10722910,9,"7 Rooms, 1 Bedroom, 1 Bath/powder room"
104,10722910,10,"$19,200"
105,10722910,11,Basement 6 feet or +
106,22671079,3,Residential only
107,22671079,4,Detached
108,22671079,5,Unknown age
109,22671079,13,Driveway (2)
110,22671079,7,Residential (3)
111,22671079,8,3 x 6 ½
112,22671079,9,"6 Rooms, 2 Bedrooms, 1 Bath/powder room"
113,22671079,10,"$21,838"
114,15813467,1,"49,836 sqft"
115,15813467,2,Residential
116,16313524,5,1967
117,16313524,1,"4,051,085 sqft"
118,16313524,13,"Driveway (20), Garage (6)"
119,16313524,6,Wood stove
120,10952577,5,1972
121,10952577,1,"6,059,262 sqft"
122,10952577,13,Garage (2)
123,10952577,6,Wood fireplace
124,10952577,11,"Waterfront, Navigable body of water"
125,16622694,1,"183,490 sqft"
126,16622694,2,Residential
127,22457365,3,Residential only
128,22457365,4,Detached
129,22457365,5,1940
130,22457365,1,"15,258 sqft"
131,22457365,7,Residential (4)
132,22457365,8,4 x 4 ½
133,22457365,9,"4 Rooms, 2 Bedrooms, 1 Bath/powder room"
134,22457365,10,"$24,360"
135,13548885,15,Convenience store
136,12449093,3,Commercial only
137,12449093,5,1971
138,12449093,14,"1,120 sqft"
139,12449093,1,"9,099 sqft"
140,12449093,7,Commercial (1)
141,12449093,15,Restaurant
142,21697749,3,Commercial and industrial
143,21697749,5,2010
144,21697749,14,"2,400 sqft"
145,21697749,1,"92,215 sqft"
146,21697749,7,Commercial (1)
147,21697749,15,Garage
148,20295163,3,Commercial and industrial
149,20295163,5,2015
150,20295163,14,"5,000 sqft"
151,20295163,12,"5,000 sqft"
152,20295163,7,Office (1)
153,20295163,15,Other
154,19258027,3,Residential only
155,19258027,4,Semi-detached
156,19258027,5,"Unknown age, Century"
157,19258027,1,"3,800 sqft"
158,19258027,7,Residential (4)
159,19258027,8,"3 x 3 ½,  1 x 4 ½"
160,19258027,9,"4 Rooms, 2 Bedrooms, 1 Bath/powder room"
161,19258027,10,"$32,652"
162,16628605,1,"35,307 sqft"
163,16628605,2,Residential
164,15127840,15,"Fast food, Restaurant, Coffee/Donuts, Snack bar, Ice cream shop, Reception hall"
165,24463409,1,"55,938 sqft"
166,24463409,2,Residential
167,22625399,1,"45,962 sqft"
168,22625399,2,Residential
169,21629400,15,Dry-cleaning
170,27668453,1,"21,592 sqft"
171,27668453,2,"Residential, Resort"
172,17515429,1,"43,551 sqft"
173,17515429,2,Residential
174,23730885,1,"60,092 sqft"
175,23730885,2,Resort
176,25524459,3,Commercial only
177,25524459,5,1980
178,25524459,14,"2,772 sqft"
179,25524459,1,"50,417 sqft"
180,25524459,7,Warehouse (1)
181,25524459,15,Other
182,17399583,3,Offices only
183,17399583,5,1991
184,17399583,14,"From 254 sqft to 1,349 sqft"
185,17399583,7,Office (4)
186,17399583,15,Professional Business Center
187,12847592,3,Residential only
188,12847592,4,Detached
189,12847592,5,1950
190,12847592,12,"1,040 sqft"
191,12847592,1,"6,809 sqft"
192,12847592,13,Driveway (2)
193,12847592,7,Residential (2)
194,12847592,8,"1 x 4 ½,  1 x 5 ½"
195,12847592,9,"5 Rooms, 3 Bedrooms, 1 Bath/powder room"
196,12847592,10,"$19,500"
197,26680457,17,Grande culture
198,26680457,5,1978
199,26680457,1,"3,767,367 sqft"
200,26680457,13,"Driveway (10), Garage (1)"
201,26680457,11,Basement 6 feet or +
202,8600622,1,"12,051 sqft"
203,8600622,2,Residential
204,22603772,3,Residential only
205,22603772,4,Detached
206,22603772,5,1968
207,22603772,1,"8,213 sqft"
208,22603772,13,"Driveway (6), Garage (2)"
209,22603772,7,Residential (2)
210,22603772,8,"1 x 8 ½, 1 x 10 ½"
211,22603772,9,"8 Rooms, 3 Bedrooms, 1 Bath/powder room"
212,22603772,10,"$19,200"
213,19425257,1,"46,585 sqft"
214,19425257,2,Residential
215,19978917,1,"61,191 sqft"
216,19978917,2,Residential
217,18785671,3,Residential only
218,18785671,4,Detached
219,18785671,5,1973
220,18785671,1,"4,734 sqft"
221,18785671,13,"Driveway (2), Garage (1)"
222,18785671,6,Wood fireplace
223,18785671,7,Residential (3)
224,18785671,8,"1 x 3 ½,  2 x 4 ½"
225,18785671,9,"4 Rooms, 2 Bedrooms, 1 Bath/powder room"
226,18785671,10,"$23,220"
227,18785671,11,Basement 6 feet or +
228,23964608,3,Residential only
229,23964608,4,Detached
230,23964608,5,1895
231,23964608,1,"1,600 sqft"
232,23964608,7,Residential (5)
233,23964608,8,"4 x 3 ½,  1 x 5 ½"
234,23964608,9,"5 Rooms, 3 Bedrooms, 1 Bath/powder room"
235,23964608,10,"$32,280"
236,23964608,11,Basement 6 feet or +
237,13999871,1,"134,891 sqft"
238,13999871,2,Residential
239,11434501,1,"45,908 sqft"
240,11434501,2,Residential
241,13697295,3,Industrial and offices
242,13697295,5,1997
243,13697295,14,"2,540 sqft"
244,13697295,1,"19,916 sqft"
245,13697295,7,Industrial (1)
246,27316719,1,"32,324 sqft"
247,27316719,2,"Residential, Resort"
248,10660428,1,"28,810 sqft"
249,10660428,2,Residential
250,15463439,1,"44,944 sqft"
251,15463439,2,Residential
252,13088244,1,"33,229 sqft"
253,13088244,2,Residential
254,22440407,3,Residential and commercial
255,22440407,4,Detached
256,22440407,5,1903
257,22440407,12,"5,148 sqft"
258,22440407,1,"5,508 sqft"
259,22440407,7,Residential (5)
260,22440407,8,"4 x 1 ½,  1 x 5 ½"
261,22440407,9,"1 Room, 1 Bath/powder room"
262,22440407,10,"$45,000"
263,22440407,11,Basement 6 feet or +
264,14947348,3,Commercial and residential
265,14947348,5,1926
266,14947348,14,"1,255 sqft"
267,14947348,1,"9,835 sqft"
268,14947348,7,"Residential (1), Commercial (1)"
269,14947348,15,Convenience store
270,9583890,3,Residential only
271,9583890,4,Detached
272,9583890,5,"To be built, New"
273,9583890,1,"14,206 sqft"
274,9583890,13,Driveway (2)
275,9583890,7,Residential (4)
276,9583890,8,4 x 4 ½
277,9583890,9,"4 Rooms, 2 Bedrooms, 1 Bath/powder room"
278,9583890,10,"$44,400"
279,14173155,5,"Unknown age, Century"
280,14173155,1,"442,945 sqft"
281,14173155,13,Driveway (4)
282,14173155,16,"Inground, Indoor"
283,14173155,6,"Wood stove, Stove - Other"
284,14173155,11,Basement 6 feet or +
