0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
mls_number,Lot area,Zoning,Use of property,Building style,Year built,Fireplace/Stove,Number of units,Residential units,Main unit,Potential gross revenue,Additional features,Building area,Parking,Available area,Type of business,Pool,Type of operation,Residential unit,Intergenerational
10000726,"17,100 sqft",Residential, , , , , , , , , , , , , , , , , 
10000808,"18,358 sqft",Residential, , , , , , , , , , , , , , , , , 
10001233,"33,000 sqft",Other, , , , , , , , , , , , , , , , , 
10002211,"23,000 sqft",Residential, , , , , , , , , , , , , , , , , 
10002269,"70,600 sqft",Residential, , , , , , , , , , , , , , , , , 
10003761,"130,364 sqft",Residential, , , , , , , , , , , , , , , , , 
10004938,"14,866 sqft",Residential, , , , , , , , , , , , , , , , , 
10006638,"15,000 sqft",Residential, , , , , , , , , , , , , , , , , 
10007881,"25,360 sqft",Residential, , , , , , , , , , , , , , , , , 
10008068,"9,104 sqft",Residential, , , , , , , , , , , , , , , , , 
10009186,"59,394 sqft",Residential, , , , , , , , , , , , , , , , , 
10010597,"58,771 sqft",Residential, , , , , , , , , , , , , , , , , 
10011170,"93,367 sqft",Residential, , , , , , , , , , , , , , , , , 
10011187,"58,771 sqft",Residential, , , , , , , , , , , , , , , , , 
10011422,"4,113 sqft",Residential, , , , , , , , , , , , , , , , , 
10012466,"139,582 sqft","Commercial, Residential", , , , , , , , , , , , , , , , , 
10012501,"236,793 sqft",Residential, , , , , , , , , , , , , , , , , 
10015236,"27,995 sqft",Residential, , , , , , , , , , , , , , , , , 
10015240,"12,605 sqft",Residential, , , , , , , , , , , , , , , , , 
10016095,"39,937 sqft","Residential, Resort", , , , , , , , , , , , , , , , , 
10017418,"40,400 sqft","Residential, Resort", , , , , , , , , , , , , , , , , 
10017942,"387,500 sqft",Residential, , , , , , , , , , , , , , , , , 
10020610,"39,804 sqft",Residential, , , , , , , , , , , , , , , , , 
10021418,"50,392 sqft",Residential, , , , , , , , , , , , , , , , , 
10021754,"81,434 sqft",Residential, , , , , , , , , , , , , , , , , 
10022209,"41,893 sqft",Residential, , , , , , , , , , , , , , , , , 
10024129,"1,075,852 sqft",Commercial, , , , , , , , , , , , , , , , , 
10026275,"43,056 sqft",Residential, , , , , , , , , , , , , , , , , 
10028073,"6,395 sqft", ,Residential only,Detached,1979, ,Residential (2),2 x 6 ½,"6 Rooms, 3 Bedrooms, 1 Bath/powder room","$11,880", , ,Driveway (2), , , , , , 
10029409,"8,645 sqft", ,Residential only,Detached,1979, ,Residential (2),2 x 6 ½,"6 Rooms, 3 Bedrooms, 1 Bath/powder room", , , ,Driveway (2), , , , , , 
10030817, , ,Commercial and residential, ,Unknown age, ,"Residential (1), Commercial (1)", , , , , , ,"2,240 sqft",Restaurant, , , , 
10031654,"237,882 sqft",Resort, , , , , , , , , , , , , , , , , 
10037642,"416,967 sqft",Residential, , , , , , , , , , , , , , , , , 
10040235,"2,046,341 sqft",Residential, , , , , , , , , , , , , , , , , 
10040422,"12,051 sqft",Residential, , , , , , , , , , , , , , , , , 
10041340,"229,060 sqft", ,Commercial and office space, ,1950, , , , , , ,"1,295 sqft", , ,Garage, , , , 
10042060,"90,185 sqft", ,Commercial only, ,1965, ,"Commercial (1), Warehouse (1)", , , , , , ,"From 2,902 sqft to 11,035 sqft",Florist, , , , 
10042679,"4,000 sqft", ,Commercial and residential, ,1964, , , , , , , , , , , , , , 
10044087,"75,929 sqft",Residential, , , , , , , , , , , , , , , , , 
10044630,"86,273 sqft",Residential, , , , , , , , , , , , , , , , , 
10045875,"82,699 sqft",Residential, , , , , , , , , , , , , , , , , 
10048992, , ,Commercial and office space, ,"2011, New", , , , , , ,"1,100 sqft", , , , , , , 
10050435, , ,Commercial and office space, ,"2011, New", , , , , , ,"4,415 sqft", , , , , , , 
10054580,"53,873 sqft",Commercial, , , , , , , , , , , , , , , , , 
10055125,"179,760 sqft",Residential, , , , , , , , , , , , , , , , , 
10055218,"444,122 sqft","Residential, Resort", , , , , , , , , , , , , , , , , 
10057417,"10,095 sqft",Residential, , , , , , , , , , , , , , , , , 
10058638,"2,125 sqft", ,Residential only,Detached,Unknown age, ,Residential (2),2 x 4 ½, , ,Basement 6 feet or +, ,Driveway (1), , , , , , 
10059401,"6,983 sqft",Residential, , , , , , , , , , , , , , , , , 
10059563,"9,341 sqft",Residential, , , , , , , , , , , , , , , , , 
10060071,"7,920 sqft",Residential, , , , , , , , , , , , , , , , , 
10060194,"11,622 sqft",Residential, , , , , , , , , , , , , , , , , 
10060288,"13,499 sqft",Residential, , , , , , , , , , , , , , , , , 
10061078,"13,391 sqft",Residential, , , , , , , , , , , , , , , , , 
10061267,"10,693 sqft",Residential, , , , , , , , , , , , , , , , , 
10061872, , , , , , , , , , , , , , ,Boutique, , , , 
10062284,"174,247 sqft",Residential, , , , , , , , , , , , , , , , , 
10064146,"1,280,227 sqft",Residential, , , , , , , , , , , , , , , , , 
