0,1,2,3,4,5,6
6395,0,1979,6,3,1,11880
20113,0,1972,5,3,1,12600
4577,0,1950,5,3,1,14880
5000,0,1954,10,2,2,13800
1812,0,1926,4,2,1,11460
8500,0,1970,4,2,1,7200
60000,0,2003,11,3,2,19200
26960,1,1971,4,2,1,21840
856,0,1910,4,2,1,25500
8103,0,1989,5,3,1,48336
4325,0,,5,3,1,27660
55000,0,1980,5,3,1,214740
8700,0,1962,10,5,2,27000
5394,0,,6,3,1,17940
9749,0,1947,7,4,2,15180
13325,0,1964,11,3,2,24900
11913,1,,5,3,1,58140
10095,0,1969,7,3,1,11400
4390,0,,6,3,1,31380
5063,1,,4,2,2,30300
5000,0,1947,4,2,1,12600
8700,0,,5,3,1,11400
2250,0,1956,4,2,1,12840
1875,0,1934,6,2,1,10200
8412,0,1971,5,3,1,42132
1949,1,1900,10,2,2,55044
3374,0,1940,4,2,1,12000
5300,0,1956,7,4,1,14880
2688,0,1963,5,3,1,22020
4850,0,1959,4,2,1,24600
4049,0,1919,7,2,2,13860
2942,0,1968,6,3,1,32100
3100,0,1953,5,3,1,28380
1941,0,1958,7,3,2,12360
4000,0,1973,5,3,2,31800
6021,0,2004,4,2,1,34140
4340,1,1979,5,3,1,55920
3735,0,1963,5,3,1,30900
3396,0,1981,6,3,2,32640
2771,0,1900,4,2,1,30000
8045,0,1965,4,2,1,15600
32948,0,,7,2,2,43200
3000,0,1910,13,4,2,26400
7649,0,2002,6,2,1,44400
59032,0,,5,2,1,24000
11041,0,1900,8,3,1,13140
14290,0,1900,4,2,1,9600
1575,0,1924,12,5,3,68400
380,0,2014,5,3,1,36840
10160,0,1956,7,3,1,17520
4699,0,1950,4,3,1,20160
6285,0,1927,5,2,1,60840
1918,0,1987,4,2,1,41760
7622,0,2008,4,2,1,25080
4500,0,1966,7,3,2,37536
2115,0,1930,6,4,2,14400
3420,0,1930,5,5,1,38760
3480,0,,5,3,1,15480
4785,0,1951,7,3,1,39120
3337,0,,4,2,1,10260
3990,0,1968,9,3,2,30900
3136,0,1951,5,3,1,22920
10221,0,1962,7,3,1,15780
23152,0,1997,6,2,1,19200
6824,0,1968,8,4,2,18240
28606,0,1980,5,3,2,18720
5284,0,1923,4,2,1,21300
6899,0,2012,7,4,2,22224
9894,0,2017,5,3,1,48
6781,0,2013,4,2,1,20400
20540,0,2000,5,3,2,16200
2125,0,1945,10,5,2,35400
4950,0,1961,4,2,2,15240
2661,0,1951,4,2,2,19560
4198,0,1981,7,3,2,36120
50795,0,1954,5,3,1,54180
17982,0,1921,4,2,1,18600
5000,0,1990,4,2,1,15300
2050,0,1962,4,2,1,22800
8712,0,1956,8,2,2,950
5005,0,1961,6,3,1,14688
4875,0,1928,4,2,1,23700
101740,0,,9,4,2,40200
5067,0,1991,5,3,1,25200
2853,0,1965,8,4,3,25800
7105,0,1986,8,3,3,8400
3941,1,1950,4,2,1,5016
5514,0,1920,5,3,1,17040
7814,0,1955,4,2,1,25920
5461,0,1962,5,3,2,11400
17780,0,1978,6,3,1,19680
2906,0,1958,5,3,1,27360
2993,0,2008,5,2,1,20400
2682,0,1957,4,2,1,16920
4090,1,1939,4,2,1,33900
1866,0,1960,5,3,1,21600
4409,1,1897,5,2,1,37500
14206,0,2017,4,2,1,44400
12850,0,,5,2,1,9600
10824,0,1968,6,3,1,32100
25788,0,1910,7,5,2,25740
11741,0,2009,5,2,1,68280
9395,1,,10,3,2,19212
6374,0,1988,7,4,2,47640
3100,0,1931,7,3,2,72000
3205,0,1923,5,3,1,16200
5863,0,1900,4,2,1,11520
7227,0,1920,6,4,1,18120
1887,0,1925,6,3,1,31440
2100,0,1942,4,2,1,33084
4561,0,1959,8,4,2,17820
6856,0,1950,7,2,1,10800
10888,0,1969,5,2,1,19320
1750,0,1955,4,2,1,24720
5271,0,1965,4,2,1,48048
42369,0,1995,5,3,1,16140
1600,0,,4,2,1,18000
6000,0,1944,5,3,1,14220
22204,0,1989,7,3,1,21600
5515,0,2002,4,2,1,19200
5749,0,1915,4,2,1,12720
9179,0,1955,5,2,1,15000
4559,0,1939,7,5,2,29760
2386,1,1958,6,3,1,900
4060,0,1966,6,3,1,35040
5339,0,1952,6,3,1,49200
6184,0,1900,4,2,1,27540
4923,0,1956,4,2,1,12000
5956,0,2005,11,7,2,30480
7412,0,1858,9,3,1,25200
1008707,1,,4,2,1,71712
3148,0,1959,5,3,1,38040
2975,0,1905,5,3,1,26460
5132,0,1954,5,3,1,34000
7316,0,,5,2,1,14700
5752,0,1982,8,4,3,51060
39342,0,,10,2,3,16800
6533,0,1924,5,3,1,12000
4800,0,1966,7,3,3,42960
5076,0,1992,6,2,1,30300
4758,0,1967,5,3,1,30060
1325,1,1938,6,3,1,36600
2255,0,1936,5,2,1,16020
13504,0,1905,6,3,1,9300
